CREATE TABLE bintest (p postcode, d dps);
\copy bintest FROM '/home/dave/dev/postcode/data/binary.data' WITH BINARY;
SELECT * FROM bintest;
    p     | d  
 NW8 8FL  | 6H
 DG11 3BA | 5B
 PO37 6JB | 2A
 OX11 0TA | 5W
 CR4 2NH  | 2H
 G81 6NX  | 9P
 SK6 1EW  | 7F
 IP27 9LA | 2L
 WF2 6BG  | 9P
 EX17 5PB | 6Z
 KT15 1YX | 7Y
 S6 2QX   | 1A
 GU13 9LQ | 8S
 LU5 6AN  | 3F
 SA41 3RN | 3A
 CH63 2PQ | 8E
 W7 2BG   | 8G
 BN43 5FL | 6W
 CM17 9XZ | 7R
 CV36 4DN | 3D
 PE20 1HY | 1H
 NP12 1YD | 2A
 TD7 5LG  | 9G
 L23 9SN  | 8L
 B11 4LL  | 6G
 N17 8BW  | 5Z
 BT15 5FH | 5X
 CA10 2EP | 1U
 SW15 1XY | 5E
 RH13 7EH | 1A
 TN21 0ET | 2D
 OL12 0QX | 2D
 HP5 2XL  | 9T
 BL2 3DB  | 2E
 LN3 4NH  | 5S
 UB5 6PQ  | 6W
 GL3 4GH  | 5F
 TA18 8RP | 7E
 IP8 3LE  | 3R
 M16 0AH  | 5D
 WS7 8AZ  | 7G
 GU21 2WG | 2P
 N16 9HH  | 9J
 TS17 0ST | 6R
 BN17 7LR | 8T
 HX3 7EF  | 7S
 BA13 3ZL | 5X
 CF62 9AS | 7L
 TW18 9AS | 9G
 MK12 5RD | 2G
 NE61 6RY | 5F
 BD17 6TQ | 1F
 N11 3DQ  | 8U
 L25 6HW  | 6N
 AB16 5DT | 3L
 NR11 7WW | 9A
 EH3 6TS  | 6P
 G72 0DX  | 3P
 DT10 1BA | 3R
 HP9 1PG  | 3L
 PO11 0RU | 7L
 SA1 1LN  | 5S
 NE46 1TS | 5Y
 E11 4RE  | 6T
 UB5 5DU  | 1E
 SW15 3NH | 6P
 LS9 6HX  | 9L
 M28 7HQ  | 8F
 BT32 3RF | 9D
 BS25 1TJ | 1P
 BA21 4EA | 2T
 PO39 0HP | 1J
 CB5 8JY  | 3P
 G74 4YP  | 4P
 WF10 4RG | 5T
 BD10 8JH | 3B
 PO20 8DA | 4S
 WA16 6GA | 7W
 B77 1LJ  | 1H
 OL14 6DA | 3D
 LS2 9JS  | 4Z
 BT94 2FG | 6L
 EX13 5JS | 6S
 NW4 4JN  | 2X
 PE37 8DQ | 3R
 GU8 4LQ  | 8B
 PO31 7DS | 1B
 LS28 5RP | 6U
 BH22 9QH | 1W
 W1N 5LN  | 3X
 LL18 2ED | 8D
 G43 2ER  | 2D
 NR20 5LQ | 5E
 BT13 1NL | 1A
 AL5 4PN  | 6Y
 DL16 7TX | 8Y
 GU6 8PS  | 9U
 FK5 4UN  | 3T
 WR13 6PY | 4E
 L18 5HD  | 5U
 TR8 5HL  | 8P
 OL5 0SU  | 2D
 SS5 6JA  | 7U
 TQ13 7PJ | 8A
 CT2 0DU  | 7A
 NR14 7AD | 2L
 HP15 6AE | 2P
 N20 0WS  | 8J
 G5 0WA   | 6U
 W2 5PA   | 1L
 SE26 4WJ | 1S
 SW2 9HF  | 5F
 CM23 3LH | 2D
 TD5 7BE  | 8N
 YO24 1EG | 1B
 LN6 5AX  | 6U
 OX5 1EL  | 6Q
 LS7 4JL  | 3B
 KA12 8AZ | 4Z
 G78 2JR  | 6P
 EH23 4EU | 5X
 BT9 5GF  | 1N
 EN3 4JB  | 1R
 WS7 9ZY  | 1R
 SW16 6NB | 6P
 FY8 2SW  | 6F
 CT6 9BA  | 3N
 KA1 4QY  | 1R
 NE33 4WT | 8U
 SW9 7QA  | 2J
 DN14 9WU | 5T
 HU9 4RL  | 7U
 CH5 4RR  | 5H
 W4 4AA   | 4J
 BT5 9AU  | 6R
 TS19 8EG | 6Q
 RG6 9NA  | 4U
 S75 2SQ  | 5L
 DH1 5UJ  | 2Z
 NN11 5QN | 4A
 BT93 1UA | 3N
 BN21 3JA | 2A
 NN7 2NY  | 5Y
 SO45 1WN | 6T
 SY3 7JX  | 4Y
 AL1 5FR  | 7Z
 DN21 1YS | 6J
 HU13 0PP | 7X
 S98 1BB  | 6E
 NN14 3EU | 2H
 CB8 9PT  | 5Q
 BN11 9GH | 9F
 B49 6RN  | 6R
 L35 4NG  | 1Z
 DN15 7QJ | 5L
 PA3 3BT  | 4L
 CA6 4LH  | 6F
 NE33 3GD | 8D
 PE30 5BB | 4E
 CH64 2UH | 9H
 SW15 2RX | 8E
 CT6 7BY  | 9G
 SW6 6NF  | 4W
 NR31 0HD | 7D
 EN5 2YW  | 7P
 CM8 2QZ  | 6Z
 CO1 1DD  | 4H
 BB5 1ES  | 5R
 DH7 7TH  | 4T
 BD12 7EE | 8T
 CA10 1XW | 7L
 LN8 5RD  | 5S
 NE34 8PR | 5S
 BD21 1SB | 7F
 BB1 1SZ  | 1A
 SW7 4AY  | 3R
 AB51 3WY | 3J
 EN10 7PS | 5G
 ST14 5HL | 7W
 SS2 6HR  | 5L
 GL20 7TS | 1G
 OX2 7QR  | 9J
 NW2 2PJ  | 5L
 CV4 8GE  | 6X
 YO30 7XY | 4X
 DN36 4YR | 1B
 S43 4RA  | 6G
 NR20 4JL | 3Z
 WA8 7LH  | 4Q
 SS1 3LL  | 7N
 WF12 9RB | 5B
 NR33 9AF | 9Q
 WV4 5YU  | 5D
 SE22 8DA | 7H
 UB1 1EX  | 6Z
 IG11 0EF | 5J
 GU28 0HP | 4U
 PE23 5BP | 1Y
 NN8 2DP  | 8J
 NR3 2WN  | 1E
 BT71 4HH | 2Q
 PL3 5BP  | 9N
 AB15 5NW | 6G
 SY20 9EJ | 9T
 BN12 4TJ | 8R
 KY2 5HP  | 8B
 GU21 4LL | 9Y
 BS48 2YE | 4H
 ME20 7DX | 6Q
 NG12 3ZS | 5H
 B16 9WZ  | 7W
 S8 9DG   | 3H
 BN43 9BR | 7Y
 LA8 0NJ  | 8E
 NG22 9UU | 1W
 NG17 3LF | 5H
 CB23 8HF | 6Z
 LN2 3PA  | 1A
 BS40 5NB | 4E
 EX37 9YT | 2W
 GU14 8PE | 1B
 CW1 4RZ  | 4L
 TW8 9GA  | 8U
 NW11 0QN | 4N
 RG14 2YH | 1J
 SE17 1UF | 4B
 G34 9DG  | 8D
 TW8 0WF  | 6Y
 SW1Y 6RE | 4R
 WA16 6PP | 9Q
 BN41 1YU | 7B
 SN16 9PJ | 2L
 DN21 5JA | 5T
 EX20 2NW | 3J
 CM1 2YJ  | 4J
 SO40 4AA | 3H
 CA28 9DD | 1Z
 SG18 8UN | 1T
 B5 4PY   | 3Y
 KA12 0RY | 7Q
 CH62 3QS | 6G
 W11 1FT  | 3S
 NG20 8RG | 8Q
 LN11 9WT | 1H
 WC1H 9LZ | 5P
 EH54 7BZ | 1Q
 NN16 8NY | 5Y
 IP17 1YL | 7U
 SN13 9JL | 8B
 SL5 0LL  | 4E
 CF10 3DA | 5J
 SL6 1QY  | 3P
 PR25 5SB | 1W
 B68 8HD  | 8S
 LA1 5HT  | 8G
 HR2 7YJ  | 2P
 DD4 6QG  | 6A
 CB3 0AB  | 4A
 SN9 5BW  | 6S
 PO21 3AU | 6Z
 SA14 9EJ | 3J
 PH7 9AR  | 6B
 SK2 6AN  | 8D
 HP23 6NR | 5H
 LN5 8NE  | 9P
 EX6 6WY  | 3H
 BN22 7PB | 1T
 GU3 3YR  | 5N
 PL28 8AU | 9B
 CH5 2BA  | 8N
 HP9 2PG  | 7N
 BD1 3RA  | 5G
 EH12 5XL | 3L
 PO4 8BQ  | 5Q
 M33 9PB  | 3S
 W5 2ZS   | 4D
 CR0 4FL  | 9D
 PA31 8QD | 2T
 PO40 9XP | 1A
 LE19 2BY | 2E
 FK4 1PX  | 1S
 TW14 9SP | 4Q
 NW11 7YT | 3T
 BN3 6BU  | 6X
 ME16 0GS | 1W
 W1A 3NF  | 5G
 EX12 3HD | 2P
 WS5 4DN  | 4X
 BD4 0ER  | 4A
 WS3 2BL  | 5Y
 CF62 5UZ | 1D
 OL14 5TP | 8D
 CB6 1ST  | 2Y
 EH41 9BE | 6Z
 PL2 3JD  | 4Q
 KY3 9HF  | 2G
 HP13 7AW | 2W
 LE16 7ZB | 7F
 SN5 9HE  | 1J
 LE4 5EL  | 8L
 BT55 7FN | 4N
 L34 0HZ  | 4Z
 PA5 9DB  | 6B
 KT10 0RS | 5S
 PE31 6XR | 8Y
 MK14 6FB | 5S
 CR8 5JW  | 9H
 SA73 1LR | 1E
 WD17 2AA | 2A
 SN2 1YT  | 9W
 CO4 5PA  | 3X
 CB4 1ZY  | 9Z
 YO12 6BJ | 1X
 S35 2TQ  | 3G
 LN1 1LT  | 7B
 DH9 9DY  | 4Q
 TA3 7JJ  | 5Q
 HX5 0SN  | 7Z
 NE12 9SZ | 6N
 BT35 9AL | 7J
 BT49 9AB | 8E
 S70 6HQ  | 3J
 L12 5EP  | 1H
 GU20 6QJ | 7T
 TR7 1YW  | 8E
 PE13 1LU | 7F
 M15 6AF  | 3U
 N11 2HT  | 6Z
 HA0 2AU  | 3S
 CM7 2RW  | 2E
 PE2 8TB  | 8P
 CF47 0BA | 6R
 OL11 4JN | 8S
 NG20 9JX | 3Q
 LE9 7AL  | 7J
 IV19 1NN | 2A
 L69 3ZG  | 5D
 ME13 7EY | 2P
 HX2 7ED  | 7B
 PR5 6TF  | 2X
 CH45 2WB | 5Q
 SE20 7SJ | 1G
 CV9 2ZG  | 3Q
 BD20 5BD | 8L
 GY1 1NR  | 3T
 TW20 0YU | 5L
 SE5 7TN  | 9G
 M44 5FH  | 1E
 BN7 1YQ  | 5D
 HP27 9WF | 9Y
 CV6 7ES  | 2T
 BD2 3WX  | 5N
 NE21 4EU | 5U
 WD1 4DD  | 7T
 KT20 6RY | 3Q
 AB53 8BD | 6A
 PH2 6EW  | 5J
 G83 9DY  | 6E
 RG2 0RZ  | 1Y
 SE14 5WW | 8R
 NR2 1BF  | 6L
 GU21 3BG | 6A
 PO7 8HY  | 9Z
 TS17 9JZ | 2H
 CH66 1NJ | 9G
 NE48 3NR | 1E
 BH1 9QS  | 2U
 DA7 9JD  | 1E
 WC1X 8UW | 9Z
 SY15 6AU | 6U
 NN9 5PA  | 5W
 BD23 6AS | 4H
 B61 0TG  | 5N
 CO15 1XF | 6U
 BS48 4SX | 4L
 BN21 3QF | 4P
 SL1 3ZR  | 1X
 TN37 6HB | 8Y
 DD3 6ER  | 4W
 DA7 9FB  | 9W
 TF7 5WX  | 1F
 BS4 5RX  | 7L
 PA2 6YE  | 9P
 NE6 1UL  | 4X
 BT94 3BW | 7X
 ME15 8QQ | 2E
 RG1 2NN  | 1L
 BR1 3HZ  | 9Y
 CH63 2LD | 6X
 SO45 5BR | 3A
 PO8 0WD  | 9P
 SA15 4DY | 3E
 NN14 4FB | 3W
 ME12 2LX | 6Z
 LS12 6AU | 5S
 HU12 8BB | 3A
 LS1 2NY  | 4F
 CH64 1TP | 5A
 EN3 6FU  | 8X
 CW9 9GL  | 4P
 M19 1PA  | 4P
 EH30 9TS | 2G
 CH8 7TZ  | 4B
 CR4 4YL  | 2W
 EX6 8TH  | 6X
 SN5 4BH  | 2Z
 SK14 3HB | 6N
 GU9 7PD  | 2T
 TN38 8EB | 1J
 GL5 5ZX  | 3E
 BH19 1QG | 1Q
 KA3 1EN  | 6W
 DE56 1FJ | 4R
 SA4 8NR  | 7D
 N7 8UG   | 7E
 BA1 5PJ  | 9T
 EH11 2WW | 4W
 SN12 7HF | 4B
 SA19 8PZ | 7L
 LS28 5UF | 4Z
 UB1 1SU  | 3B
 SA6 8AX  | 7P
 HP23 6EZ | 7J
 DN6 0FB  | 2G
 HP22 6HD | 8U
 LL31 9YB | 1N
 W3 0XH   | 9Y
 BT9 7JL  | 6S
 G63 0PA  | 1G
 NG17 8DH | 1B
 G11 5AA  | 2T
 W1N 6JD  | 2E
 DE3 9DJ  | 2J
 BT64 9BQ | 6P
 TW8 9XR  | 3H
 EH6 4BG  | 4Y
 DN40 2DW | 6F
 SN10 2EE | 7D
 TN29 9PS | 2R
 BD1 9DR  | 9S
 LU5 5PR  | 3B
 BB4 6PZ  | 3F
 IP28 8PX | 3Z
 WV6 0WS  | 5E
 N10 1ZB  | 8U
 DA15 7LB | 5B
 N1P 1XU  | 3R
 SA12 7NT | 3X
 B36 0SN  | 4Y
 RG1 6LR  | 2Q
 KA18 1LG | 9F
 CO15 5DG | 6E
 LE5 5DQ  | 2X
 CO13 0JS | 8U
 DN20 0LS | 9S
 SK13 8NY | 1X
 LL23 7EQ | 1X
 NG34 7QY | 6H
 ST7 3NQ  | 4A
 WF4 2AT  | 3T
 S8 9BG   | 1Y
 DN11 8RW | 3G
 BT60 4QQ | 3Q
 BS35 1ZW | 6S
 NP16 7LQ | 9L
 HD1 3UJ  | 1Q
 NE9 5TA  | 1U
 PO18 0SB | 8X
 SW7 3AL  | 9X
 NW5 1LJ  | 3E
 LS25 6JN | 4R
 BB4 9JY  | 4G
 RM8 2AT  | 6R
 HU16 5HD | 8Y
 NE34 7NF | 8X
 OL4 5NS  | 9F
 DN41 7QN | 2Y
 BN6 8WG  | 1Q
 B61 7HG  | 8Z
 OL9 6RD  | 7Q
 W6 9UR   | 1F
 IV2 7NS  | 6Q
 SS6 8DY  | 9W
 LN6 0WG  | 5S
 BT94 5FQ | 3S
 HP13 7UB | 7J
 LE4 4DG  | 4H
 CB1 9JY  | 7Q
 YO8 3SX  | 1L
 BL7 9SS  | 7G
 PO32 6HA | 2E
 IP28 6LB | 3Q
 CT3 4AX  | 3G
 KY16 8JZ | 9N
 CM7 5SN  | 1U
 NW10 2RA | 8L
 SW3 2AH  | 5D
 DN4 8WU  | 1Y
 CM5 0EW  | 7J
 CH1 9YW  | 6U
 CA25 5DG | 1H
 BS11 0EA | 6A
 EH52 5HY | 6X
 KA21 9AH | 4Y
 TS11 6AD | 8J
 G67 2WJ  | 2N
 S40 3AR  | 1S
 PE19 8PE | 9Y
 BS3 2BW  | 1A
 HA7 3WD  | 7Z
 W5 1JL   | 9A
 SM6 8SB  | 8F
 LL54 6LD | 8Z
 BS3 5BT  | 4T
 PE12 6EU | 2J
 RM7 8LX  | 8E
 RH1 1JP  | 6S
 B71 1EX  | 9W
 SP2 0NR  | 5R
 ME14 9AX | 1A
 LS27 7JB | 9Y
 CM20 9JF | 9R
 BD21 2JH | 1T
 NR27 0BY | 6E
 NR10 3JB | 1P
 HX2 8DU  | 9F
 DE55 1BA | 8B
 CH60 5SB | 4W
 CO5 7RA  | 1P
 CA14 9UB | 4T
 WD24 5LY | 9Z
 PE6 8NG  | 7U
 LL29 9YN | 7S
 GL50 9AU | 1B
 W1G 8UU  | 6B
 SW9 0PH  | 6B
 EX34 8LD | 2E
 CR3 0BA  | 9L
 SG19 1DD | 3N
 PH33 9AD | 1B
 BH21 8NE | 3G
 CF71 7NY | 7Q
 GL7 1GA  | 3B
 KT23 4AZ | 7N
 BB5 5QG  | 2Y
 NE2 2HE  | 7U
 WA1 4SY  | 4T
 WF13 4AY | 6Z
 DN4 8XP  | 1J
 DD8 1AB  | 9H
 WF3 3AY  | 5A
 WR10 1NE | 2N
 WF6 2PZ  | 1G
 SA1 7AS  | 1B
 RH15 0UY | 7L
 B61 7DL  | 7H
 ME14 4LH | 3J
 BN1 7LX  | 6Z
 CH8 7NY  | 9T
 SS7 9GP  | 7L
 DN8 5FL  | 4E
 RM5 3HB  | 5E
 LS1 4SH  | 6S
 BT66 6LY | 8P
 IP14 1QA | 6Y
 SS4 3BG  | 6W
 IM3 1HD  | 3A
 SS17 9NS | 1A
 DT8 3LP  | 1Q
 W4 5UA   | 6P
 NW1 8TY  | 5S
 CV2 3JP  | 9W
 WF17 6NQ | 5U
 BD18 3EL | 4B
 SM7 3BX  | 6Y
 N17 1BD  | 1S
 WV14 9YR | 5A
 SE18 1YQ | 8F
 TS14 7DE | 2X
 WF6 2BT  | 5A
 HD8 0NL  | 6E
 NG17 8HP | 6L
 NP16 6TW | 9H
 SW17 0AB | 7T
 CM7 5NJ  | 2U
 EH15 2HN | 6Z
 EH4 7BS  | 5F
 SG1 2ZT  | 4H
 CH88 3WS | 3W
 CV11 9SG | 5R
 S70 1RQ  | 7T
 W2 3AN   | 3P
 GL51 3YP | 9T
 PE27 4UD | 8R
 S70 3JD  | 3W
 BT70 2RL | 3Z
 SE15 1PN | 9E
 SE18 3PG | 7E
 OX28 4GH | 9E
 BS16 4YP | 5Z
 S14 1BX  | 3A
 LS13 4JL | 4A
 SA73 1AH | 7S
 KA1 1AY  | 7P
 B30 3NG  | 4P
 SA12 7AW | 9G
 CA4 9LJ  | 8G
 NN18 8NT | 1L
 SW12 9WF | 4J
 ME4 4JD  | 3G
 RH16 2YW | 2W
 DY3 1JQ  | 7D
 BT56 8PE | 3N
 GY1 1JD  | 5F
 TF7 5RR  | 2F
 NW6 5DE  | 7H
 GU12 4JT | 4Z
 RH1 3WD  | 7T
 TR1 1JR  | 2B
 DH5 0LN  | 7X
 EH48 9BS | 5G
 SA63 4QL | 4F
 DL14 8QP | 1B
 S61 2DR  | 6S
 G51 1PP  | 6A
 G14 9RL  | 1A
 G78 3EX  | 7T
 BB5 4EN  | 9N
 NG1 1DW  | 2N
 LS17 8XE | 4N
 TR11 3RW | 2X
 CO3 3EE  | 4F
 N20 0XL  | 7W
 BT49 0QG | 4J
 CF5 6EE  | 6Z
 NE1 7EJ  | 3Y
 GU14 9FG | 2H
 CF61 1BD | 7S
 TN39 4AE | 1E
 BT45 7XN | 4H
 TN27 0EH | 4L
 FK1 3EJ  | 6S
 YO10 4JE | 5T
 PE19 5XP | 6Z
 CW9 7FY  | 8Y
 TW8 8HQ  | 2Y
 RH15 8EB | 2N
 OX4 6DQ  | 1A
 LN6 7NF  | 9B
 HU5 3NS  | 1N
 EX8 4WR  | 9B
 NG19 0PN | 5J
 NE5 2XW  | 4T
 W1U 6UD  | 8T
 SR7 8NU  | 4Q
 TR18 4AZ | 1W
 PA17 5EQ | 9P
 RH2 8YQ  | 3S
 DL6 2YH  | 9X
 W1A 5FZ  | 1W
 N9 0PG   | 7F
 CM19 4HH | 7A
 SE13 7SB | 4E
 SO31 5PU | 3T
 BL5 3TB  | 1Q
 TR5 0YS  | 8Y
 CV34 6YG | 3L
 G21 3LE  | 4G
 MK13 8LD | 8P
 IP16 4JA | 9R
 S41 7PF  | 2Y
 GU13 0YJ | 9D
 GY8 0BD  | 9N
 LL21 9AS | 3N
 LL18 1ED | 4E
 PR1 7UX  | 3Q
 BA1 6EL  | 1R
 DE73 5SJ | 5F
 CM7 8QH  | 7E
 CR7 7GB  | 2G
 CB10 1JL | 3G
 RH6 7FH  | 1Z
 L27 6PH  | 7Z
 BN2 5RR  | 7L
 OX5 1DE  | 1J
 DY13 9LA | 3P
 SO16 9TD | 1U
 PR5 4NT  | 7L
 CM23 2AR | 4T
 PR4 3DX  | 2J
 N8 9NT   | 2Q
 CM3 8ES  | 5Y
 SY99 8AA | 8Y
 FY8 5SB  | 5Z
 NE28 7EX | 7A
 GU1 4WS  | 9Z
 NP44 5TG | 9X
 TW8 0DT  | 7Y
 SP7 9QA  | 1T
 PL15 8RR | 3Y
 B15 3QQ  | 1N
 HG3 1HN  | 8U
 SA18 3LG | 5A
 CF14 6AG | 5E
 SS7 3QQ  | 9H
 EX39 5RL | 7E
 G51 4GH  | 7U
 RG4 5LB  | 9T
 G14 0LL  | 8H
 PE17 1YU | 9N
 EX20 1TF | 7U
 CF41 7JU | 7G
 LL37 2QQ | 4S
 MK40 2ZP | 9W
 NG18 4HD | 6Q
 LN1 1UQ  | 3E
 LS15 0JT | 4N
 ML3 7QA  | 9S
 BN3 4EB  | 6B
 SO45 5UX | 8Z
 NE36 0BW | 4F
 KY11 9JT | 8F
 IP26 4ET | 6Q
 TD5 7TF  | 3J
 BS20 6EG | 5X
 CM11 1AN | 3H
 ME10 9ER | 2E
 MK5 7WE  | 2X
 YO16 4AY | 3A
 BR1 9WA  | 7X
 BD21 4ED | 1F
 SP8 9AQ  | 2G
 CV7 8NZ  | 2P
 E1 4WL   | 7P
 CH65 9JX | 4R
 PE21 6AP | 9W
 OL5 9LA  | 6E
 DT9 5AD  | 3B
 EN3 6NR  | 8D
 WA5 3AT  | 6E
 HP27 0BT | 5Z
 PE24 5BB | 8R
 SY23 3RB | 7H
 TN22 1EH | 1A
 TQ2 6TS  | 5E
 BT63 5UR | 1W
 LS9 9XL  | 5A
 PA21 2AD | 9T
 WR1 3WP  | 1G
 OX7 5TL  | 4Q
 RG1 8HX  | 7E
 DD11 3SH | 6U
 SO31 9GP | 9L
 PA4 8RG  | 3U
 IP31 1RX | 2X
 CW9 8GB  | 9X
 CB6 2WY  | 6H
 BS15 8HT | 4D
 GL20 5QR | 7W
 BH10 7ZX | 9D
 HD7 1NE  | 6J
 E15 3ER  | 3D
 BB1 2BT  | 2Y
 LL55 4UP | 6U
 ST10 4EJ | 4D
 W2 7XL   | 4X
 ML6 9RN  | 3Y
 CV6 9DZ  | 7L
 KT22 9NN | 8Y
 DA1 1LU  | 3Y
 OL16 2RZ | 8Q
 DN37 0DW | 8J
 OX7 6SD  | 8E
 BD18 3DL | 7S
 LE12 5ND | 8E
 PR3 1ZG  | 3U
 W6 0SX   | 2U
 TQ3 2HQ  | 7W
 EN5 3LD  | 7Q
 IP11 3AY | 9Z
 HA4 8BU  | 8G
 AB24 3UL | 8D
 PE7 3BU  | 2U
 TS7 0WB  | 2T
 BN6 8WB  | 3G
 SP5 5NZ  | 5A
 TQ12 4DQ | 2F
 PE13 5RD | 6T
 TF9 2NY  | 2U
 GL54 3DJ | 3Y
 CH7 3BE  | 8Q
 BR2 6BU  | 9W
 NR15 1RF | 7P
 DT3 6YJ  | 4Q
 SM5 4QB  | 7X
 KY7 5JU  | 7E
 BD1 3TQ  | 2G
 ST1 5PL  | 4Q
 NE15 9JU | 4E
 CF3 0XH  | 4J
 BT5 7HF  | 8P
 UB3 1HJ  | 5R
 TW20 9SU | 4Y
 WS7 9BS  | 6F
 SA3 5LL  | 9P
 B76 9DN  | 7H
 RH16 3TG | 2Z
 S35 9XA  | 2W
 BT52 2PY | 1F
 YO62 5XX | 1H
 L13 9AN  | 9F
 BA1 6WH  | 3D
 LL31 9LH | 1Y
 IP13 0NZ | 4T
 PO9 5LH  | 8P
 DE6 3BP  | 6U
 NN3 3LJ  | 7N
 W1F 9LD  | 6A
 PO7 6WA  | 8J
 CA28 6TQ | 8G
 PE3 8BH  | 6T
 TN34 3SA | 6W
 WS11 3LY | 8Z
 BT65 9BF | 6A
 HU10 7RN | 9D
 NP10 9LN | 3W
 CV3 5YA  | 5J
 OX4 4YG  | 8D
 G4 0YT   | 3E
 AL5 4GW  | 2H
 SG18 0AL | 6N
 CF14 6EB | 6N
 HA3 5WF  | 8T
 LE1 5DF  | 2S
 BS1 6NJ  | 8X
 DY7 6EY  | 1G
 TN3 0WZ  | 3P
 BB5 5AJ  | 6W
 SK6 7LP  | 5P
 CH47 6BQ | 5E
 KY16 8DJ | 6N
 SW1H 0ZU | 4Z
 PE12 2AU | 5H
 SY1 4RA  | 4P
 OX4 2LG  | 3F
 GU34 3WZ | 9W
 NR30 2RX | 8F
 SA61 1SE | 3F
 ST3 3AN  | 8N
 DN14 7JJ | 8T
 HR8 1HU  | 1U
 LE4 8EH  | 5U
 PA15 2BW | 4J
 RH13 0LB | 6D
 PL19 0LB | 9G
 CF32 9LD | 7A
 M14 4HB  | 6Q
 TN35 5PW | 1H
 LA2 0BG  | 8F
 M32 8BA  | 5B
 SO50 5TR | 8G
 L24 6SN  | 3N
 WS6 6LY  | 5G
 WA3 3TT  | 2L
 NN29 7NX | 4A
 DL5 4BE  | 9A
 E17 7QS  | 2U
 PL27 6BW | 5G
 SG2 7HB  | 5J
 CO15 5RJ | 6F
 G12 0UL  | 1H
 SO18 2WH | 9W
 PA16 0PW | 5Z
 BB1 8EN  | 7U
 RH10 8JS | 7J
 CA22 2HE | 7J
 M8 4RF   | 2Y
 CF5 4TF  | 5R
 M50 2UY  | 3B
 BR1 4QT  | 5N
 PE19 2DE | 3R
 NG34 4DF | 5T
 SN15 2BG | 2U
 CF11 7BU | 2B
 BR7 6JL  | 5T
 WA3 2EH  | 8W
 LE4 2EZ  | 2J
 RG24 7JU | 1L
 NN29 7AB | 1J
 DG2 9PA  | 7B
 SO40 4SL | 6F
 B79 7XZ  | 9D
 DN2 5DR  | 7E
 E14 9RX  | 8W
 NE20 9BE | 9X
 DT2 0ES  | 8X
 BR7 5SP  | 1W
 CA1 3RG  | 6G
 IM3 1EP  | 2W
 RG20 6QR | 6J
 S71 4LS  | 8H
 WA3 1AD  | 7R
 SY10 9PH | 2D
 WA4 1HX  | 9F
 IP13 0LJ | 7U
 E10 5JR  | 1Y
 IP19 8LJ | 3G
 NN1 4PH  | 2D
 LL11 0AE | 9T
 CV4 7AE  | 1B
 LE10 0SH | 4R
 PR9 9EL  | 4A
 SE11 5TN | 7H
 OL14 5BZ | 1R
 PE4 7TL  | 2N
 CB21 4RD | 1H
 LA1 1AL  | 1D
 CR5 3RZ  | 1D
 KA6 5JW  | 4D
 ZE1 0PU  | 6W
 BL3 2QG  | 3F
 IP7 5AH  | 8J
 B3 1UP   | 2Z
 PH2 0LQ  | 7R
 TD15 1BW | 4G
 AL4 0ES  | 3T
 MK45 1JB | 5F
 G66 7DA  | 1H
 ME6 9AP  | 4Y
 LA18 5LJ | 1Z
 SN1 5LW  | 3H
 OX3 9QS  | 4L
 TN12 9SP | 4D
 NG22 9LJ | 6Y
 TW16 7LY | 4Y
 CB3 7WS  | 5W
 M33 3AB  | 5A
 SY23 3DB | 8Q
 LS20 8NL | 9T
 BB10 2HU | 5X
 HD6 3RQ  | 7X
 CB9 7YG  | 1X
 W1A 1HF  | 7Q
 MK42 0FD | 2W
 SG1 2PD  | 7S
 LU3 1AG  | 3P
 WD25 7BL | 9Q
 EH12 5WU | 4A
 BR8 7EP  | 8Q
 PH2 9DY  | 4B
 OX28 1HP | 5X
 WA15 6LQ | 4Q
 ML9 1EF  | 7A
 BT47 4HE | 6W
 G77 5FB  | 2X
 SG6 1FE  | 2L
 LS6 3HE  | 6J
 G78 3QJ  | 5F
 WD17 1XR | 3A
 DN21 5HX | 9Q
 SE17 2YD | 5E
 KT15 1JN | 2H
 NN11 1AZ | 7J
 SL9 1AS  | 6Y
 DH2 2HH  | 1S
 IM2 6LL  | 7S
 DH8 5ST  | 9X
 BS5 6ES  | 8Z
 CF82 7BD | 8X
 IP9 1EB  | 8B
 TS12 1LX | 6T
 EH17 8EU | 4W
 UB4 0HZ  | 8X
 W1N 7HD  | 8F
 TN22 5LZ | 5X
 PR25 3FB | 7J
 SP3 5NT  | 3G
 BL2 2EX  | 7X
 WV6 9EN  | 4W
 NR11 7LS | 7F
 GL19 3SB | 2Y
 WA1 3SQ  | 8T
 BB9 0TE  | 7Y
 BT33 0RT | 4S
 GY1 3PE  | 1L
 AL1 3QN  | 3S
 LE14 3QL | 4J
 EH52 5HX | 8B
 BD15 9AR | 7L
 DD11 4UH | 7Y
 WD3 2NR  | 4X
 PR2 7AG  | 8E
 NR7 7NS  | 1N
 TR1 9DQ  | 9U
 HD1 3SR  | 9R
 NW1W 9QW | 8H
 TN27 9PT | 3A
 CR2 6WU  | 1F
 BT41 2QR | 1U
 HX1 2GZ  | 2F
 SE5 8JE  | 1J
 TN21 1BT | 8N
 TA2 6NR  | 9W
 TR15 3UH | 2P
 RG1 9FY  | 7R
 MK45 2UB | 9G
 WC2E 7JT | 7F
 CR0 2TR  | 5W
 HA2 9ZN  | 5H
 EH47 8GD | 9E
 TA11 6RB | 7Y
 OX28 9SJ | 3Z
